No,id,nama,Provinsi,PDC1,PDB1,PDA1,JDC1,JDB1,JDA1,DC1P,DB1P,DA1P
1,11,Aceh,ACEH,"1,089,290    54.39 %","1,058,901    54.84 %","979,212    54.73 %","913,309    45.61 %","872,138    45.16 %","809,974    45.27 %",100.0   19/07 12:38,95.65   22/07 10:13,89.27   22/07 11:13
2,12,Sumut,SUMATERA UTARA,"2,831,514    44.76 %","2,831,514    44.76 %","5,478,147    44.66 %","3,494,835    55.24 %","3,494,835    55.24 %","6,787,833    55.34 %",100.0   21/07 16:15,100.0   22/07 04:13,96.79   23/07 06:35
3,13,Sumbar,SUMATERA BARAT,"1,797,505    76.92 %","1,797,505    76.92 %","1,780,709    76.93 %","539,308    23.08 %","539,308    23.08 %","534,096    23.07 %",100.0   19/07 13:15,100.0   18/07 21:14,98.88   20/07 14:14
4,14,Riau,RIAU,"1,349,338    50.12 %","1,349,338    50.12 %","1,349,338    50.12 %","1,342,817    49.88 %","1,342,817    49.88 %","1,342,817    49.88 %",100.0   19/07 14:13,100.0   18/07 17:15,100.0   19/07 10:36
5,15,Jambi,JAMBI,"871,316    49.25 %","871,316    49.25 %","871,316    49.25 %","897,787    50.75 %","897,787    50.75 %","897,787    50.75 %",100.0   19/07 16:13,100.0   18/07 23:15,100.0   19/07 01:15
6,16,Sumsel,SUMATERA SELATAN,"2,132,163    51.26 %","2,132,163    51.26 %","1,492,015    51.47 %","2,027,049    48.74 %","2,027,049    48.74 %","1,406,933    48.53 %",100.0   20/07 21:13,100.0   21/07 22:15,69.26   22/07 12:15
7,17,Bengkulu,BENGKULU,"433,173    45.27 %","433,173    45.27 %","433,173    45.27 %","523,669    54.73 %","523,669    54.73 %","523,669    54.73 %",100.0   19/07 20:14,100.0   17/07 20:44,100.0   17/07 07:53
8,18,Lampung,LAMPUNG,"2,033,924    46.93 %","2,033,924    46.93 %","2,033,924    46.93 %","2,299,889    53.07 %","2,299,889    53.07 %","2,299,889    53.07 %",100.0   20/07 12:16,100.0   17/07 18:43,100.0   21/07 08:14
9,19,Babel,KEPULAUAN BANGKA BELITUNG,"200,706    32.74 %","200,706    32.74 %","183,871    32.38 %","412,359    67.26 %","412,359    67.26 %","384,022    67.62 %",100.0   20/07 22:13,100.0   21/07 12:14,91.49   21/07 18:14
10,21,Kepri,KEPULAUAN RIAU,"332,908    40.37 %","332,908    40.37 %","332,912    40.37 %","491,819    59.63 %","491,819    59.63 %","491,819    59.63 %",100.0   20/07 18:15,100.0   18/07 16:33,100.0   17/07 18:52
11,31,DKI Jakarta,DKI JAKARTA,"2,528,064    46.92 %","2,528,309    46.92 %","2,528,309    46.92 %","2,859,894    53.08 %","2,860,635    53.08 %","2,860,635    53.08 %",100.0   21/07 06:14,100.0   23/07 06:34,100.0   22/07 16:38
12,32,Jabar,JAWA BARAT,"14,167,381    59.78 %","14,167,381    59.78 %","13,297,828    59.76 %","9,530,315    40.22 %","9,530,315    40.22 %","8,953,725    40.24 %",100.0   19/07 12:38,100.0   18/07 18:14,95.85   23/07 15:15
13,33,Jateng,JAWA TENGAH,"6,485,720    33.35 %","6,485,720    33.35 %","6,461,797    33.33 %","12,959,540    66.65 %","12,959,540    66.65 %","12,927,550    66.67 %",100.0   21/07 13:10,100.0   22/07 14:14,99.65   23/07 18:14
14,34,DIY,DAERAH ISTIMEWA YOGYAKARTA,"977,342    44.19 %","977,342    44.19 %","977,342    44.19 %","1,234,249    55.81 %","1,234,249    55.81 %","1,234,249    55.81 %",100.0   19/07 14:13,100.0   18/07 12:13,100.0   18/07 19:15
15,35,Jatim,JAWA TIMUR,"10,277,088    46.83 %","10,277,088    46.83 %","10,023,767    46.99 %","11,669,313    53.17 %","11,669,313    53.17 %","11,307,119    53.01 %",100.0   21/07 00:14,100.0   21/07 11:14,96.99   21/07 18:14
